population,IN_01,KY_01,KY_02,KY_03,KY_04,KY_05,KY_06,EX_01,EX_02,EX_03,TNE_01,TNE_02,TNW_01,TNW_02,TNW_03,TNW_04,TNW_05
IN_01,NA,0.18047220800019137,0.2130729359853192,0.1679936282749371,0.16533583776377592,0.16716639030099398,0.17482467746505856,0.19276828324006784,0.1802283185344472,0.25244702701901955,0.35209784876162725,0.31029619366594213,0.38589581056972816,0.29106206450962474,0.33887494986141664,0.30568549704768344,0.2613279052522502
KY_01,0.5443083069422612,NA,0.1594877674816826,0.11823274792610662,0.1074959378123228,0.14040023332952456,0.12434176598569585,0.1517499422122406,0.14449783644248304,0.23343283515957192,0.26267049745086596,0.2555743740186242,0.33843546264270347,0.23509350664540765,0.2664926676844966,0.2606341023845618,0.22099804952627627
KY_02,0.6058866766160113,0.5276002162780428,NA,0.11504202642031648,0.10405887491499397,0.12760394582117301,0.1448817143939714,0.03056128160950657,0.14836529956473682,0.22433404315925026,0.28795435856785684,0.2678589823096342,0.3493429312332133,0.23181674700664553,0.2732370718880588,0.2692618071652398,0.23011558321650144
KY_03,0.5404123529040616,0.4472325041995494,0.4072544954191276,NA,0.08201504558912169,0.13277182836838497,0.12344557937520219,0.11037616415383854,0.11473512452380583,0.18813333832440896,0.2684975979996718,0.24693202887034021,0.322163618991357,0.20688759526794856,0.2555720347145507,0.23246905489683306,0.1951513081653269
KY_04,0.54261709932643,0.4156320223051505,0.3762288096075648,0.3415562703473134,NA,0.10317132788011506,0.0762104534568253,0.09459621630906684,0.09003116734750277,0.16741631076827504,0.2525601500111122,0.23739650520446498,0.3025256261921043,0.19605978483264064,0.22811336195759382,0.21662595047113836,0.17801505695429318
KY_05,0.486139696997297,0.4758666096378545,0.40631194119637293,0.4820140192013241,0.3826564902465294,NA,0.15893684520931534,0.08300025750073656,0.11903417188501204,0.19673405286743828,0.2841556243331674,0.25912798882595844,0.30898448002593504,0.22084613252590296,0.27768736589770143,0.2419056831613753,0.19687442320086124
KY_06,0.520021671294541,0.4318775398739256,0.4723698986228198,0.45970122948625536,0.29003409388348766,0.5308239863642168,NA,0.13750323168658307,0.14297736250040385,0.2165976105018661,0.299700334548715,0.26680789269385075,0.3592282010914118,0.23892033386020073,0.2751788986365607,0.2613321910527055,0.22776151819418222
EX_01,0.5614771410792585,0.5152128931773742,0.09747282276684252,0.4014197214837951,0.35148191982237653,0.2710981203216373,0.46001686377392725,NA,0.13927844177763365,0.21432476799267133,0.2869954887346819,0.2639194006290753,0.33448516110488014,0.22405018020235598,0.27982809721841156,0.26441050504190466,0.22323786738936235
EX_02,0.5917421775535628,0.5589577191618227,0.5366588443960488,0.4780517920434578,0.38394276466548,0.44169001538517544,0.5443780404139024,0.5177369838694547,NA,0.08198653308299178,0.20981782101445312,0.1938495853574496,0.24479349551055057,0.1756380042202762,0.18613074296278007,0.10864375108582507,0.09337256450809087
EX_03,0.7350085896821804,0.7921937396091987,0.7151952627164749,0.6839007456801909,0.6217681623018121,0.6423056877587751,0.7243146726570955,0.7009073294883355,0.30462760004737555,NA,0.23715879019185845,0.21638286797043435,0.2332751849452698,0.20262871387555867,0.21732806832490306,0.08765863803983678,0.10223108576561049
TNE_01,0.8883588222146891,0.764222432104923,0.7906714408292229,0.8322086892280237,0.7983302919950767,0.797655637083927,0.8601716577448292,0.8068765051115354,0.6634979604272513,0.6664994985658599,NA,0.2506961255110291,0.2826975507299255,0.2499458792262915,0.25896881847176,0.21558614036533094,0.2206964792269675
TNE_02,0.7969019441903039,0.7578065531092915,0.7491765805874673,0.7804946385049761,0.765385662155297,0.7410775576155983,0.7803226871799481,0.7559611863610237,0.6252478128330299,0.61955250748681,0.6226802520528885,NA,0.325026365310688,0.23314291763138253,0.20793975061668235,0.21477782267052611,0.20033251743853642
TNW_01,0.8683727827272322,0.8719390765300898,0.8520368565088219,0.8810494157650729,0.8427526093675344,0.7695435354538592,0.9136758266704628,0.8342780518414221,0.68219157238583,0.5816210640163221,0.6163105438455274,0.7205345691420321,NA,0.2356237898982348,0.3457716342024183,0.22373682168312461,0.23698946121178655
TNW_02,0.7685657215985392,0.7181319872574776,0.6673876621237407,0.6743473878882204,0.6520684050888169,0.650326276496186,0.7197180728024851,0.6608081567624439,0.5843962998776597,0.5973868584819586,0.6380488502889476,0.6058614756250791,0.5361719977377574,NA,0.28480065708505137,0.2124520496589273,0.17240504366359272
TNW_03,0.8739365687292947,0.7937152261841318,0.7675413321510762,0.8115369595337473,0.7388905900892403,0.79764533635556,0.8083807570714937,0.805054557828466,0.6031554706381989,0.6249949543216662,0.6458785624267517,0.5278440553767086,0.7695404295804643,0.7432135203378366,NA,0.1974340123867593,0.19873536938802006
TNW_04,0.8486231615193024,0.8401679715563122,0.8167338904753393,0.8011491977933115,0.7622283833463985,0.7509658479893261,0.8304323358149073,0.8221668543805591,0.3824454447331902,0.27245565557694307,0.5781473700876023,0.586576877431964,0.5335868922223836,0.5970488543643953,0.5415277014852563,NA,0.03915643424082383
TNW_05,0.777829401838652,0.7681316138895835,0.7507719617291585,0.7272561325338095,0.6779709015463621,0.6579796030605146,0.7799162999601287,0.7473536594293596,0.35577260099882524,0.34210071255621227,0.6338234551060452,0.5862792772688336,0.6031299342580771,0.5196858545268789,0.5841900350168272,0.12450990916661073,NA
